id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
15796638176570931200,0,14102104,1012,0,85f751fd,c4e18dd6,50e219e0,3692fd30,7801e8d9,07d7df22,f3cc2374,4e0a9863,bd1ec0c7,1,2,21611,320,50,2480,3,299,100111,61
13176742168302362624,1,14102402,1012,0,d266097b,db11867b,c0dd3be3,ecad2386,7801e8d9,07d7df22,a99f214a,878ac2d3,d787e91b,1,0,19771,320,50,2227,0,679,100077,48
11805545113933993984,1,14103023,1012,1,c52338a7,c4e18dd6,dedf689d,ecad2386,7801e8d9,07d7df22,a99f214a,4a24a18c,a8735f2a,1,0,23725,320,50,,3,47,-1,23
1560499270409977856,0,14102800,1012,0,c21df24f,c4e18dd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,948e9d8a,ad0ecb0d,1,2,20128,320,50,2303,2,39,100111,23
10152480321750872064,1,14102704,1012,0,c21df24f,c4e18dd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,47b31dcf,cc1b551e,1,2,17877,320,50,2036,3,47,100111,156
1884591169857638912,0,14102803,1012,0,85f751fd,c4e18dd6,50e219e0,3692fd30,7801e8d9,,1d2d76c0,0f8e9a42,6918390d,1,0,22686,320,50,2620,0,295,100111,204
10392675156015867904,0,14102616,1012,0,c21df24f,c4e18dd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,917b4160,f00dcf82,1,2,17212,320,50,1887,3,39,100202,23
17133843221776660480,0,14102717,1012,0,c21df24f,c4e18dd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,108a0622,3520c226,1,2,16858,320,50,1887,3,39,-1,23
4310235609211080192,0,14102616,1012,0,85f751fd,c4e18dd6,50e219e0,3692fd30,7801e8d9,07d7df22,115ecb33,e9517779,9603927a,1,2,17877,320,50,2036,3,47,-1,156
15432169700158537728,0,14102802,1010,1,85f751fd,c4e18dd6,50e219e0,2dd02289,7801e8d9,cef3e649,0c9d63c4,44f612ae,dc31133e,4,2,22920,320,50,2649,0,39,-1,204
5712597893011330048,1,14102909,1010,1,85f751fd,c4e18dd6,50e219e0,ffc6ffd0,7801e8d9,0f2161f8,270f5977,4044c39e,41c87f95,4,0,23643,320,50,2709,3,35,-1,23
17162365070373736448,0,14102802,1010,1,85f751fd,c4e18dd6,50e219e0,6fef5db2,7801e8d9,0f2161f8,24531236,3ea717ed,36b67a2a,4,3,22920,320,50,2649,0,39,-1,204
9373013962227527680,0,14102621,1010,1,85f751fd,c4e18dd6,50e219e0,501eb75e,7801e8d9,0f2161f8,b41529fa,4a839ad5,f07e20f8,4,2,17877,320,50,2036,3,47,,156
16748043407928803328,0,14102110,1010,1,85f751fd,c4e18dd6,50e219e0,bd754143,7801e8d9,,4ba01e4f,5e18ddc1,be74e6fe,4,0,12477,320,50,1272,3,303,-1,15
15504195534437691392,0,14103004,1010,1,85f751fd,c4e18dd6,50e219e0,04f2be5f,7801e8d9,0f2161f8,d692be6a,4ee8e8e6,f07e20f8,4,3,23551,320,50,2698,0,163,-1,212
2980153889328516096,0,14102300,1010,1,85f751fd,c4e18dd6,50e219e0,b7f64446,7801e8d9,0f2161f8,553cf951,5af26bc9,f07e20f8,4,2,17877,320,50,2036,3,47,-1,156
15692117016209033216,0,14102119,1010,1,85f751fd,c4e18dd6,50e219e0,495d447f,7801e8d9,0f2161f8,3a1e84c9,15dd4fa4,c89448d8,4,3,16011,320,50,1769,0,673,100094,101
18212850437976494080,0,14102306,1010,1,85f751fd,c4e18dd6,50e219e0,ca404f25,7801e8d9,cef3e649,101c3073,75bb1b58,ef726eae,4,3,15705,320,50,,0,35,-1,79
1940909536104907008,0,14102616,1010,1,85f751fd,c4e18dd6,50e219e0,0639409a,7801e8d9,cef3e649,8bb8f041,ebe6eb73,f07e20f8,4,3,17877,320,50,2036,3,47,-1,156
